@relation 'german_credit-weka.filters.unsupervised.attribute.Remove-R4,7-8,10-20'

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute class {good,bad}

@data
0<=X<200,6,'critical/other existing credit',932,'no known savings','female div/dep/mar',good
<0,18,'no credits/all paid',3104,<100,'male single',good
>=200,36,'existing paid',3913,<100,'male single',good
<0,24,'existing paid',3021,<100,'male div/sep',good
'no checking',10,'existing paid',1364,<100,'female div/dep/mar',good
0<=X<200,12,'existing paid',625,<100,'male mar/wid',good
<0,12,'existing paid',1200,'no known savings','female div/dep/mar',good
'no checking',12,'existing paid',707,<100,'male single',good
'no checking',24,'delayed previously',2978,'no known savings','male single',good
'no checking',15,'existing paid',4657,<100,'male single',good
'no checking',36,'no credits/all paid',2613,<100,'male single',good
0<=X<200,48,'existing paid',10961,>=1000,'male single',bad
<0,12,'existing paid',7865,<100,'male single',bad
'no checking',9,'existing paid',1478,<100,'male single',bad
<0,24,'existing paid',3149,<100,'male single',good
>=200,36,'existing paid',4210,<100,'male single',bad
'no checking',9,'existing paid',2507,500<=X<1000,'male single',good
'no checking',12,'existing paid',2141,100<=X<500,'male single',good
0<=X<200,18,'existing paid',866,<100,'male mar/wid',good
'no checking',4,'critical/other existing credit',1544,<100,'male single',good
<0,24,'existing paid',1823,<100,'male single',bad
0<=X<200,6,'existing paid',14555,'no known savings','male single',bad
0<=X<200,21,'existing paid',2767,100<=X<500,'male div/sep',bad
'no checking',12,'critical/other existing credit',1291,<100,'female div/dep/mar',good
<0,30,'existing paid',2522,<100,'male single',good
<0,24,'existing paid',915,'no known savings','female div/dep/mar',bad
'no checking',6,'existing paid',1595,<100,'male single',good
<0,48,'no credits/all paid',4605,<100,'male single',bad
'no checking',12,'critical/other existing credit',1185,<100,'female div/dep/mar',good
'no checking',12,'all paid',3447,500<=X<1000,'female div/dep/mar',good
'no checking',24,'existing paid',1258,<100,'male single',good
'no checking',12,'critical/other existing credit',717,<100,'male single',good
'no checking',6,'no credits/all paid',1204,100<=X<500,'male single',good
>=200,24,'existing paid',1925,<100,'male single',good
'no checking',18,'existing paid',433,<100,'female div/dep/mar',bad
<0,6,'critical/other existing credit',666,>=1000,'female div/dep/mar',good
>=200,12,'existing paid',2251,<100,'female div/dep/mar',good
0<=X<200,30,'existing paid',2150,<100,'female div/dep/mar',bad
'no checking',24,'delayed previously',4151,100<=X<500,'male single',good
0<=X<200,9,'existing paid',2030,'no known savings','male single',good
0<=X<200,60,'delayed previously',7418,'no known savings','male single',good
'no checking',24,'critical/other existing credit',2684,<100,'male single',good
<0,12,'all paid',2149,<100,'male div/sep',bad
'no checking',15,'existing paid',3812,100<=X<500,'female div/dep/mar',good
'no checking',11,'critical/other existing credit',1154,100<=X<500,'female div/dep/mar',good
<0,12,'existing paid',1657,<100,'male single',good
<0,24,'existing paid',1603,<100,'female div/dep/mar',good
<0,18,'critical/other existing credit',5302,<100,'male single',good
'no checking',12,'critical/other existing credit',2748,<100,'female div/dep/mar',good
'no checking',10,'critical/other existing credit',1231,<100,'male single',good
0<=X<200,15,'existing paid',802,<100,'male single',bad
'no checking',36,'critical/other existing credit',6304,'no known savings','male single',good
'no checking',24,'existing paid',1533,<100,'female div/dep/mar',good
<0,14,'existing paid',8978,<100,'male div/sep',bad
'no checking',24,'existing paid',999,'no known savings','male single',good
'no checking',18,'existing paid',2662,'no known savings','male single',good
'no checking',12,'critical/other existing credit',1402,500<=X<1000,'female div/dep/mar',good
0<=X<200,48,'all paid',12169,'no known savings','male single',good
0<=X<200,48,'existing paid',3060,<100,'male single',bad
<0,30,'existing paid',11998,<100,'male div/sep',bad
'no checking',9,'existing paid',2697,<100,'male single',good
'no checking',18,'critical/other existing credit',2404,<100,'female div/dep/mar',good
<0,12,'existing paid',1262,'no known savings','male div/sep',good
'no checking',6,'existing paid',4611,<100,'female div/dep/mar',bad
'no checking',24,'existing paid',1901,100<=X<500,'male single',good
'no checking',15,'critical/other existing credit',3368,>=1000,'male single',good
'no checking',12,'existing paid',1574,<100,'male single',good
>=200,18,'all paid',1445,'no known savings','male single',good
'no checking',15,'critical/other existing credit',1520,'no known savings','male single',good
0<=X<200,24,'critical/other existing credit',3878,100<=X<500,'male div/sep',good
<0,47,'existing paid',10722,<100,'female div/dep/mar',good
<0,48,'existing paid',4788,<100,'male single',good
0<=X<200,48,'delayed previously',7582,100<=X<500,'male single',good
0<=X<200,12,'existing paid',1092,<100,'female div/dep/mar',good
<0,24,'delayed previously',1024,<100,'male mar/wid',bad
'no checking',12,'existing paid',1076,<100,'male mar/wid',good
0<=X<200,36,'existing paid',9398,<100,'male mar/wid',bad
<0,24,'critical/other existing credit',6419,<100,'female div/dep/mar',good
>=200,42,'critical/other existing credit',4796,<100,'male single',good
'no checking',48,'critical/other existing credit',7629,'no known savings','male div/sep',good
0<=X<200,48,'existing paid',9960,<100,'female div/dep/mar',bad
'no checking',12,'existing paid',4675,'no known savings','female div/dep/mar',good
'no checking',10,'existing paid',1287,'no known savings','male single',good
'no checking',18,'existing paid',2515,<100,'male single',good
0<=X<200,21,'critical/other existing credit',2745,>=1000,'male single',good
'no checking',6,'existing paid',672,<100,'female div/dep/mar',good
0<=X<200,36,'no credits/all paid',3804,<100,'female div/dep/mar',bad
>=200,24,'critical/other existing credit',1344,'no known savings','male single',bad
<0,10,'critical/other existing credit',1038,<100,'male single',good
'no checking',48,'critical/other existing credit',10127,500<=X<1000,'male single',bad
'no checking',6,'existing paid',1543,>=1000,'male div/sep',good
'no checking',30,'existing paid',4811,'no known savings','female div/dep/mar',good
<0,12,'existing paid',727,100<=X<500,'male mar/wid',bad
0<=X<200,8,'existing paid',1237,<100,'female div/dep/mar',bad
0<=X<200,9,'existing paid',276,<100,'male mar/wid',good
0<=X<200,48,'existing paid',5381,'no known savings','male single',good
'no checking',24,'existing paid',5511,100<=X<500,'male single',good
>=200,24,'existing paid',3749,<100,'female div/dep/mar',good
0<=X<200,12,'existing paid',685,<100,'male mar/wid',bad
>=200,4,'existing paid',1494,'no known savings','male single',good
<0,36,'all paid',2746,<100,'male single',bad
<0,12,'existing paid',708,<100,'male single',good
0<=X<200,24,'existing paid',4351,'no known savings','female div/dep/mar',good
'no checking',12,'critical/other existing credit',701,<100,'male single',good
<0,15,'delayed previously',3643,<100,'female div/dep/mar',good
0<=X<200,30,'critical/other existing credit',4249,<100,'male mar/wid',bad
<0,24,'existing paid',1938,<100,'male div/sep',bad
<0,24,'existing paid',2910,<100,'male single',good
<0,18,'existing paid',2659,>=1000,'male single',good
'no checking',18,'critical/other existing credit',1028,<100,'female div/dep/mar',good
<0,8,'critical/other existing credit',3398,<100,'male single',good
'no checking',12,'critical/other existing credit',5801,'no known savings','male single',good
'no checking',24,'existing paid',1525,>=1000,'female div/dep/mar',good
>=200,36,'existing paid',4473,<100,'male single',good
0<=X<200,6,'existing paid',1068,<100,'male single',good
<0,24,'critical/other existing credit',6615,<100,'male single',good
'no checking',18,'critical/other existing credit',1864,100<=X<500,'female div/dep/mar',bad
0<=X<200,60,'existing paid',7408,100<=X<500,'female div/dep/mar',bad
'no checking',48,'critical/other existing credit',11590,100<=X<500,'female div/dep/mar',bad
<0,24,'no credits/all paid',4110,<100,'male single',bad
<0,6,'critical/other existing credit',3384,<100,'male div/sep',bad
0<=X<200,13,'existing paid',2101,<100,'female div/dep/mar',good
<0,15,'existing paid',1275,'no known savings','female div/dep/mar',bad
<0,24,'existing paid',4169,<100,'male single',good
0<=X<200,10,'existing paid',1521,<100,'male div/sep',good
0<=X<200,24,'critical/other existing credit',5743,<100,'female div/dep/mar',good
<0,21,'existing paid',3599,<100,'female div/dep/mar',good
0<=X<200,18,'existing paid',3213,500<=X<1000,'male mar/wid',good
0<=X<200,18,'existing paid',4439,<100,'male single',good
>=200,10,'existing paid',3949,<100,'male single',good
'no checking',15,'critical/other existing credit',1459,<100,'female div/dep/mar',good
0<=X<200,13,'critical/other existing credit',882,<100,'male single',good
0<=X<200,24,'existing paid',3758,500<=X<1000,'female div/dep/mar',good
'no checking',6,'delayed previously',1743,100<=X<500,'male single',good
0<=X<200,9,'critical/other existing credit',1136,>=1000,'male single',bad
'no checking',9,'existing paid',1236,<100,'female div/dep/mar',good
0<=X<200,9,'existing paid',959,<100,'female div/dep/mar',bad
'no checking',18,'critical/other existing credit',3229,'no known savings','male single',good
<0,12,'no credits/all paid',6199,<100,'male single',bad
'no checking',10,'existing paid',727,500<=X<1000,'male single',good
0<=X<200,24,'existing paid',1246,<100,'male single',bad
'no checking',12,'critical/other existing credit',2331,'no known savings','male single',good
'no checking',36,'delayed previously',4463,<100,'male single',bad
'no checking',12,'existing paid',776,<100,'male mar/wid',good
<0,30,'existing paid',2406,<100,'female div/dep/mar',bad
0<=X<200,18,'existing paid',1239,'no known savings','male single',good
>=200,12,'existing paid',3399,'no known savings','male single',good
>=200,12,'delayed previously',2247,<100,'female div/dep/mar',good
'no checking',6,'existing paid',1766,<100,'male mar/wid',good
<0,18,'existing paid',2473,<100,'male single',bad
'no checking',12,'existing paid',1542,<100,'male single',good
'no checking',18,'critical/other existing credit',3850,<100,'male single',good
<0,18,'existing paid',3650,<100,'female div/dep/mar',good
<0,36,'existing paid',3446,<100,'male single',bad
0<=X<200,18,'existing paid',3001,<100,'female div/dep/mar',good
'no checking',36,'existing paid',3079,'no known savings','male single',good
'no checking',18,'critical/other existing credit',6070,<100,'male single',good
'no checking',10,'critical/other existing credit',2146,<100,'female div/dep/mar',good
'no checking',60,'critical/other existing credit',13756,'no known savings','male single',good
0<=X<200,60,'all paid',14782,100<=X<500,'female div/dep/mar',bad
<0,48,'all paid',7685,<100,'female div/dep/mar',bad
'no checking',18,'delayed previously',2320,<100,'male mar/wid',good
'no checking',7,'delayed previously',846,'no known savings','male single',good
0<=X<200,36,'existing paid',14318,<100,'male single',bad
'no checking',6,'critical/other existing credit',362,100<=X<500,'female div/dep/mar',good
<0,20,'existing paid',2212,'no known savings','male single',good
0<=X<200,18,'existing paid',12976,<100,'female div/dep/mar',bad
'no checking',22,'existing paid',1283,'no known savings','female div/dep/mar',good
>=200,12,'existing paid',1330,<100,'male single',good
'no checking',30,'delayed previously',4272,100<=X<500,'male single',good
'no checking',18,'critical/other existing credit',2238,<100,'female div/dep/mar',good
'no checking',18,'existing paid',1126,'no known savings','female div/dep/mar',good
0<=X<200,18,'critical/other existing credit',7374,<100,'male single',good
0<=X<200,15,'critical/other existing credit',2326,500<=X<1000,'male single',good
'no checking',9,'existing paid',1449,<100,'female div/dep/mar',good
'no checking',18,'existing paid',1820,<100,'male mar/wid',good
0<=X<200,12,'existing paid',983,>=1000,'female div/dep/mar',good
<0,36,'existing paid',3249,<100,'male single',good
<0,6,'critical/other existing credit',1957,<100,'female div/dep/mar',good
'no checking',9,'critical/other existing credit',2406,<100,'male single',good
0<=X<200,39,'delayed previously',11760,100<=X<500,'male single',good
<0,12,'existing paid',2578,<100,'female div/dep/mar',good
<0,36,'critical/other existing credit',2348,<100,'male mar/wid',good
0<=X<200,12,'existing paid',1223,<100,'male div/sep',bad
'no checking',24,'critical/other existing credit',1516,>=1000,'female div/dep/mar',good
'no checking',18,'existing paid',1473,<100,'male mar/wid',good
0<=X<200,18,'critical/other existing credit',1887,'no known savings','male mar/wid',good
'no checking',24,'delayed previously',8648,<100,'male single',bad
'no checking',14,'delayed previously',802,<100,'male single',good
0<=X<200,18,'delayed previously',2899,'no known savings','male single',good
0<=X<200,24,'existing paid',2039,<100,'male mar/wid',bad
'no checking',24,'critical/other existing credit',2197,'no known savings','male single',good
<0,15,'existing paid',1053,<100,'male mar/wid',good
'no checking',24,'existing paid',3235,500<=X<1000,'male div/sep',good
>=200,12,'critical/other existing credit',939,500<=X<1000,'male mar/wid',bad
0<=X<200,24,'existing paid',1967,<100,'female div/dep/mar',good
'no checking',33,'critical/other existing credit',7253,<100,'male single',good
'no checking',12,'critical/other existing credit',2292,<100,'male single',bad
'no checking',10,'existing paid',1597,500<=X<1000,'male single',good
<0,24,'existing paid',1381,'no known savings','female div/dep/mar',bad
'no checking',36,'critical/other existing credit',5842,<100,'male single',good
<0,12,'existing paid',2579,<100,'male single',bad
<0,18,'delayed previously',8471,'no known savings','female div/dep/mar',good
'no checking',21,'existing paid',2782,500<=X<1000,'female div/dep/mar',good
0<=X<200,18,'existing paid',1042,'no known savings','female div/dep/mar',bad
'no checking',15,'existing paid',3186,>=1000,'female div/dep/mar',good
0<=X<200,12,'existing paid',2028,'no known savings','male single',good
0<=X<200,12,'critical/other existing credit',958,<100,'male single',good
'no checking',21,'delayed previously',1591,100<=X<500,'male single',good
0<=X<200,12,'existing paid',2762,'no known savings','female div/dep/mar',bad
0<=X<200,18,'existing paid',2779,<100,'male mar/wid',good
'no checking',28,'critical/other existing credit',2743,<100,'male single',good
'no checking',18,'critical/other existing credit',1149,>=1000,'male single',good
'no checking',9,'existing paid',1313,<100,'male single',good
<0,18,'critical/other existing credit',1190,<100,'female div/dep/mar',bad
'no checking',5,'existing paid',3448,<100,'male single',good
0<=X<200,24,'existing paid',11328,<100,'male single',bad
<0,6,'critical/other existing credit',1872,<100,'male single',good
'no checking',24,'critical/other existing credit',2058,<100,'male div/sep',good
<0,9,'existing paid',2136,<100,'male single',good
0<=X<200,12,'existing paid',1484,'no known savings','male mar/wid',bad
'no checking',6,'existing paid',660,500<=X<1000,'male mar/wid',good
'no checking',24,'critical/other existing credit',1287,>=1000,'female div/dep/mar',good
<0,42,'critical/other existing credit',3394,<100,'male single',good
>=200,12,'all paid',609,<100,'female div/dep/mar',bad
'no checking',12,'existing paid',1884,<100,'male single',good
<0,12,'existing paid',1620,<100,'female div/dep/mar',good
0<=X<200,20,'delayed previously',2629,<100,'male single',good
'no checking',12,'existing paid',719,<100,'male single',bad
0<=X<200,48,'critical/other existing credit',5096,<100,'female div/dep/mar',bad
'no checking',9,'critical/other existing credit',1244,'no known savings','female div/dep/mar',good
<0,36,'existing paid',1842,<100,'female div/dep/mar',bad
0<=X<200,7,'existing paid',2576,<100,'male single',good
